game_id,game_title,system_requirements,game_rating,game_votes,fps_system_bench,game_short_desc
4614,Cyberpunk 2077,"
OS: Win 7 64 
Processor: Intel Core i5-3570K 3.4GHz / AMD FX-8310 

Graphics: AMD Radeon RX 470 4GB or NVIDIA GeForce GTX 780 
VRAM: 3GB

System Memory: 8 GB RAM


Storage: 70 GB Hard drive space

DirectX 12 Compatible Graphics Card
",8.79,1996,"70 
FPS","Cyberpunk 2077 won our Best Game Of Show - E3 2019. Its certainly become one of the most anticipated titles on our gaming horizon and now has an official release date. Cyberpunk 2077 is out on 17th September 2020 for PC, PlayStation 4, and Xbox One."
4615,Aqua,-,0.0,0,0,"Aqua (also known as Aqua - Naval Warfare) is an arcade-action shooter with tactical elements, driven by a steampunk story in which the vast majority of the world is covered with water. Aqua was developed by Games Distillery on their own proprietary engine and published by Microsoft Game Studios. It was released for the Xbox 360 via Xbox Live Arcade on May 19, 2010. The game is set in an alternate reality where most of the Earth is covered with water and factions war for the remaining pieces of land.The game received mixed reception from reviewers. Aggregate websites GameRankings and Metacritic report average scores of 66.23% and 61/100, respectively. Critics gave high praise to the game's hand-drawn cutscenes and steampunk setting. Gameplay was received to mixed commentary among reviewers. Critics praised the game's length and some also praised Aqua for attempting to do more than typical twin-stick shooters."
4616,The Expendables 2 Videogame,"
OS: Win Xp 32 
Processor: Intel Celeron E1200 Dual-Core 1.6GHz / AMD Athlon 64 X2 Dual Core 3600+ 

Graphics: AMD Radeon HD 6520G or NVIDIA GeForce GT 620 

System Memory: 2 GB RAM


Storage: 4 GB Hard drive space

DirectX 9 Compatible Graphics Card
",0.0,0,"200+ 
FPS","Well, another game has been outed but this time its The Australian Ratings Board. It was listed on their website that ""The Expendables 2 Videogame"" got a MA15+ certificate for being too violent. Also mentioned was an Online Multiplayer. Chances are it might launch alongside the film later this year. So, who's excited to play Chuck Norris?"
4617,Virtua Fighter 5 Final Showdown,-,0.0,0,0,"The fifth entry in SEGA's advanced, realistic fighting game series. Once again, the realtime level of visual detail and character animation has been upped to the most advanced levels, with next-generation lighting and detail on the fighters and environments. Players will be able to customize their characters by selecting from various patterned costumes and a wide range of attachable items that can be placed onto each fighter's various body parts. Players will not only achieve victory by defeating highly-skilled opponents, but will also compete for prizes and earn in-game money through the match to buy many items at an in-game shop.Virtua Fighter 5 Final Showdown contains a full overhaul of Virtua Fighter 5's mechanics, balance and animations, along with new game modes, new dynamic fighting arenas, a massive collection of customizable character items and new characters."
4618,Teenage Mutant Ninja Turtles: Turtles in Time Re-Shelled,-,0.0,0,0,"Teenage Mutant Ninja Turtles: Turtles in Time Re-Shelled (sometimes shortened Turtles in Time: Re-Shelled) is an enhanced remake of the 1991 arcade game, Teenage Mutant Ninja Turtles: Turtles in Time, which itself is a sequel to the original Teenage Mutant Ninja Turtles arcade game. Both of the original arcade games were produced by Konami. It is a side scrolling beat 'em up based on the 1987 animated series."
4619,-,-,0.0,0,0,-
4620,Adventures of Shuggy,"
OS: Win Xp 32 
Processor: Intel Celeron D 310 / AMD Athlon 64 X2 Dual Core 4000+ 

Graphics: AMD Radeon X1050 or NVIDIA GeForce FX 5200 

System Memory: 256 MB RAM


Storage: 100 MB Hard drive space

DirectX 9 Compatible Graphics Card
",0.0,0,"200+ 
FPS","The Adventures of Shuggy is a retro-styled 2D platform game available on XBox Live Arcade and PC via DRM-free direct download and Steam. It's a 2D platformer containing a variety of different levels with a leaning towards puzzles. There are over 100 single player levels and 36 Co-Op levels connected through a gradually unlocking map screen ensuring there is always a variety of levels to choose from. Various different mechanics give each level a fresh spin with Shuggy travelling in time, swinging on ropes, rotating levels, turning to a zombie, shrinking, growing, flying, teleporting and more. The game takes place in an old Scottish mansion recently inherited by young Shuggy, a cartoon vampire. To clear the mansion of evil spirits he must venture through the five different areas of the mansion, The Dungeon, The Boiler Room, The Gallery, The Graveyard and The Clocktower. Progress through the mansion is punctuated by comic book cut scenes and the occassional boss encounter."
4621,Brave: A Warriors Tale,-,0.0,0,0,"Brave: A Warrior's Tale is an action-adventure video game developed by Collision Studios and published by Evolved Games and SouthPeak Interactive for the Xbox 360. The Xbox version shipped to North American retailers on August 4, 2009, with the Wii version shipping shortly after.Armed with Brave's stories and teachings, as well as various weapons including the Spirit Dancer's Tomahawk and the powerful Warrior's Bow, Courage will battle dangerous creatures such as fierce wolves, fallen warriors and the Wendigo in order to protect his tribe."
4622,-,-,0.0,0,0,-
4623,UnderRail,"
OS: Win Xp 32 
Processor: Intel Pentium 4 1.8GHz / AMD Athlon XP 1700+ 

Graphics: AMD Radeon X600 Series or NVIDIA GeForce 210 

System Memory: 1 GB RAM


Storage: 2 GB Hard drive space

DirectX 9 Compatible Graphics Card
",0.0,0,"200+ 
FPS","Underrail is an old school turn-based isometric indie role playing game that focuses on exploration and combat. It's inspired by western RPG classics such as Fallout, Arcanum, Neverwinter Nights and System Shock 2."
4624,Fate,-,0.0,0,0,"After many days of travel, you've reached the forest town of Grove. On the outskirts of town, and once inside the fiery dungeon gates, you'll find fame, adventure and fortune. Get tips from townspeople and acquire power with unique weaponry and magic spells. Your invincible pet defends you against monsters that lurk within dark, dangerous corridors. Determine your FATE with unlimited replay and countless levels in this superb dungeon-crawling RPG!"
4625,Soldier of Fortune,-,10.0,4,0,"Based on the popular magazine of the same name, Soldier of Fortune delivers the most realistic, covert-operative themed shooter experience ever created. You are John Mullins, the world's deadliest soldier of fortune and your mission is clear: Survive. Track your prey across the globe in a series of secret missions to take down a fanatical terrorist organization before it takes you down. Maintain cover as a covert warrior in a startling variety of explosive missions ranging from sabotage to stealthy assassination to full front assaults where skill marks the difference between the hunter and the hunted. Welcome to the secret world of the mercenary."
4626,Psychotoxic,-,1.0,1,0,"The game's plot begins with Armageddon in the year 2020. The fourth horseman of the apocalypse has arrived in New York City, and the only one standing in his way is Angela ""Angie"" Prophet, a half-woman, half-angel, but doesn't know it at the outset. As she discovers her true origins, she gains six different supernatural powers such as invisibility and the ability to slow the passage of time."
4627,Post Mortem,-,0.0,0,0,"The storyline revolves around a retired American private detective by the name of Gustave MacPherson, who is hired by the dark, mysterious Sophia Blake to track down the person who brutally murdered her sister and brother-in-law in the Orphée Hotel, in the chic District 8 (Paris). The subsequent investigation will lead MacPherson into the heart of the darker side of the city, one of danger, uncertainty and suspicion. The main character suddenly finds himself in a situation where it is unknown whether it is safe to trust anyone, in addition to being faced with a confusing, baffling murder characterized by the unsure personalities of the victims."
4628,AquaNox 2: Revelation,-,0.0,0,0,"AquaNox is a submarine-based shooter/simulation game set in the distant future.The game features a total of four unique, playable and upgradeable gunships. For the completion of the game the player will most likely switch boats depending on the mission's content. While certain missions will require speed and stealth, others will virtually enforce the presence of a heavy arsenal and thick plating. The game features a large variety of projectile armament as well as a set of torpedoes and a collection of energy based weaponry, including lasers and EMP launchers. While most weapons aren't necessarily at odds with the game's underwater environments, the presence of laser-based arms decreases the plausibility of such fights. The torpedo combat is similar to the missile engagements of most flight simulators and space shooters, where the pilot is expected to release flares and perform classic evasion manoeuvres."
4629,Toribash,-,10.0,1,0,"Toribash is a turn-based 3D 3rd person tactical martial arts simulator using physics based attacks.The game is played by relaxing, holding, extending or contracting the various joints on your character and hitting the spacebar to advance time by a user-specified amount, the default being ten frames. When properly manipulated, one ragdoll will strike the other, and if enough damage is inflicted with a single blow, a limb or body part may be dismembered, or fractured. Through careful manipulation of the ragdoll's joints, arbitrarily complex attacks can be performed."
4630,AquaNox,-,0.0,0,0,"AquaNox is a submarine-based shooter/simulation game set in the distant future.The game includes a vast amount of true information on oceans, such as origins of different species, their specifics and man's adaptation to submarine life. The game manual consists of two chapters explaining various terms and facts that have been mentioned throughout the course of the story."
4631,Gish,"
OS: Win 98 
Processor: Intel Pentium 4 1.5GHz / AMD Athlon XP 1600+ 

Graphics: AMD Radeon X300 Series or NVIDIA GeForce2 Pro 

System Memory: 256 MB RAM


Storage: 100 MB Hard drive space

DirectX 9 Compatible Graphics Card
",5.0,1,"200+ 
FPS","Gish isn't your average hero; in fact he's not your average anything. You see, Gish is a ball of tar. A Sunday stroll with his lady friend Brea goes awry when a shadowy figure emerges from an open manhole and pulls Brea into the ground below. Following Brea's calls for help, Gish suddenly finds himself in the subterranean sewers of Dross, a long forgotten city filled with twisting corridors, evil traps and some of the most demented creatures imaginable."
4632,N,-,0.0,0,0,"In N, the player controls a ninja who navigates tile-based levels while simultaneously avoiding hazards, collecting gold, and eventually opening an exit door which completes the level. Gameplay involves four keys — a move-left key, a move-right key, jumping, and suicide. Combination of these moves on various types of terrain allows the ninja to perform a variety of movements, such as jumping from wall to wall, climbing up vertical inclines, and sliding down steep surfaces."
4633,N Plus,-,0.0,0,0,"N+ plays with only three buttons and the directional pad, used to control a small black ninja. Players jump, dodge, climb and rebound from walls, collecting gold on their way to a level's exit. Each level the player enters has a time limit based on the ninja's ""metabolism"" which, according to the instructions for the games, gives the ninja an extremely short life-span and a ""thirst for gold"". Gold increases the remaining time for players, thus being a valuable item to collect. While the player is given infinite lives, death can still come swift and often, a key design feature of N+. Anything that is dangerous to the ninja will kill him instantly."
